epoch;acc;loss;val_acc;val_loss
0;0.4998810888754262;0.9973457050854048;0.5240788870385582;0.9692856643819933
1;0.5192466131672969;0.9725994915867447;0.514676654945727;0.9716691603501663
2;0.5205546354110435;0.9708042312590803;0.5304234826934755;0.9643028745172294
3;0.5233575402599345;0.9683449918263813;0.5220149824368153;0.9733524465575493
4;0.5242791013940001;0.9675374947713278;0.5301177189667606;0.963199535981356
5;0.5258291926911294;0.9644143070167972;0.5309967894726182;0.9613509252063727
6;0.526168938718308;0.9639861716972813;0.5297355144108823;0.9623490085916734
7;0.5282965982841697;0.9620688788252039;0.5322198441152161;0.9583731673212522
8;0.5283178324425414;0.9614453623050508;0.530576364461152;0.9603492269602013
9;0.5290822609906571;0.9603714172701504;0.5346659532363873;0.9585478441136781
10;0.5303010999288165;0.9593056915879336;0.5302706007799995;0.9619275722786513
11;0.5313585594874226;0.9576714176556945;0.5353157009449305;0.9559042590179496
12;0.5313245848631886;0.9568943305507042;0.5326402690902323;0.9583852676291146
13;0.5322716269530262;0.9563873052622359;0.5292004280326528;0.9590406638277249
14;0.5319403745730464;0.9554628779388271;0.5284360189482336;0.9661877021350694
15;0.5335711555536241;0.9550553344331557;0.5351628191043543;0.957733589034437
16;0.5344842230346687;0.9534611034677829;0.5302706007799995;0.9589367724671456
17;0.5352783794356906;0.9527572322976195;0.5298883963152459;0.9614221115229673
18;0.5336900666579475;0.9520131387006666;0.5295061916773554;0.9594225960393106
19;0.5362466556239078;0.9496962637902724;0.5312643326343955;0.9581396425741744
20;0.5373635707116408;0.9478681945500063;0.5300412780829223;0.9601005188206105
21;0.5390410668056026;0.9462828962474931;0.5284360189208961;0.9634596265669063
22;0.539937146983643;0.9450124679008867;0.5314554349123347;0.9615725555782234
23;0.5415169660698893;0.9426614793879812;0.5298119553767328;0.9622148246579971
24;0.541962882768436;0.9419751380529455;0.5316847577005365;0.9652426162547537
25;0.5420733002129039;0.9405996763853529;0.5302706007891119;0.9644527473392845
26;0.5457637915465666;0.9364347377835744;0.5282831371896695;0.9662469372055323
27;0.5475559519482108;0.9319037443600162;0.5272129643967604;0.9756226979743958
28;0.5504650273748116;0.928945616199119;0.5298883962879085;0.9685069743035274
29;0.5534038306472306;0.9236235625410645;0.52488151663324;0.9733004145093002
30;0.556763069617114;0.9176397434079622;0.5197981959580464;0.9812039840186778
31;0.5596678982374547;0.9128374896712904;0.5226265097079957;0.9883686252333597
32;0.5650698602920976;0.9048763586284401;0.5152881822260198;0.9873258484884279
33;0.5696946532401167;0.897575279346225;0.5179636140898305;0.993847911665152
34;0.5767061621488602;0.8883000886596711;0.5144091118112869;1.009445767121256
35;0.5802225336667236;0.8797711387411441;0.51100749126397;1.02236112808711
36;0.5852635155272098;0.870255598672794;0.5157850481213242;1.0289811696905624
37;0.5917017029577868;0.8590019762214797;0.5071854456231748;1.039231316756444
38;0.5977449356676814;0.8485233969347601;0.5043571319916875;1.0457569257579908
39;0.6018813437102691;0.8398345076835814;0.5058095092265691;1.076573173691056
40;0.6105745955141718;0.8257455726608874;0.5106252866260795;1.0911752660783711
41;0.6161379368769853;0.8141967725362951;0.5025989910073099;1.1080560376202726
42;0.6240497727998985;0.7990768789030029;0.5026754318638107;1.124948228668536
